unitid,al01c01,al01c02,al01c03,al01c04,al02c01,al02c02,al02c03,al02c04,al03c03,al03c04,al04c01,al04c02,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al06c01,al06c02,al06c03,al06c04,al07c01,al07c02,al07c03,al07c04,al08c01,al08c02,al08c03,al08c04,rptc01,rptc02,rptc03,rptc04,bl01,bl02,bl03,bl04,bl05,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
101286,6,4,,,50,49,42,40,,,1,7,,,2,1,,,2,34,,2,,,,,15,15,1,1,76,110,43,43,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101295,5,1,,,51,37,57,57,,,2,6,,,1,,1,,1,24,,9,,,,,10,3,1,1,70,71,59,67,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101301,4,1,,,30,18,8,26,,,5,2,1,,2,5,2,15,,20,,3,4,,,,9,2,3,3,54,48,14,47,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101347,4,1,,,17,9,10,1,1,,,,,,,2,,,,4,,2,,,,,4,,,1,25,16,11,4,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101365,2,2,0,0,5,6,1,3,,,,,,,,,,,,,,,,,,,,,,,7,8,1,3,0,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
101374,0,0,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,1,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101383,4,1,,,15,6,4,10,1,3,1,,,,1,2,,,,6,,,,,,,4,2,,,25,17,5,13,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101408,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101426,3,3,1,1,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,6,6,2,3,0,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
101435,11,6,,,30,13,11,18,,,7,11,1,3,6,2,,,1,19,1,4,,,,,18,9,2,1,73,60,15,26,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101444,1,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101453,4,,,,9,0,2,,,,4,1,,,,,,,,7,,3,,,,,2,,,,19,8,2,3,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101462,4,1,,,14,13,11,6,,,,,,,,,,,3,17,,,,,,,9,,,,30,31,11,6,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101471,10,,,,46,14,8,1,1,,4,,1,,,,,,,11,,,,,,,3,,,,63,25,10,1,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101480,34,10,,,186,103,51,51,,,25,21,1,2,27,5,,,19,145,,10,16,,,,60,57,1,12,367,341,53,75,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101499,3,5,,,10,15,22,15,,,1,2,,,,,,,1,6,,1,3,,,,,4,,1,18,32,22,17,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101505,14,11,,,68,67,104,82,,,7,12,4,1,7,7,3,2,4,60,1,17,6,1,,,22,21,4,2,128,179,116,104,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101514,6,3,,,73,68,117,73,,,18,16,,,6,10,,,1,60,,,10,4,,,26,3,5,2,140,164,122,75,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101523,8,1,2,,27,9,21,7,,,,1,,,1,1,,,,8,1,1,,,,,5,2,10,,41,22,34,8,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101541,3,2,,,11,13,7,7,,,1,13,,,,,,,,12,,1,,,,,10,14,,1,25,54,7,9,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101569,5,3,0,0,28,20,38,35,1,1,4,6,1,2,3,4,1,2,1,19,1,7,2,0,0,0,8,2,1,1,51,54,43,48,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101587,14,1,,,65,33,,,,,19,23,,,,,,,,34,,2,11,,,,22,22,1,3,131,113,1,5,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101602,3,,,,16,8,9,22,,,8,8,,,,,,,,13,,,,,,,9,,,,36,29,9,22,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
101611,2,1,0,0,14,10,19,17,0,0,1,2,0,0,1,1,0,1,0,8,0,3,1,0,0,0,3,1,0,0,22,23,19,21,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101648,2,2,0,0,10,11,9,10,0,0,2,4,0,0,0,1,0,0,0,7,0,2,1,0,0,0,3,2,0,0,18,27,9,12,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101675,7,6,0,0,29,13,15,11,3,1,9,15,1,3,3,5,0,1,2,24,1,5,4,0,0,0,10,6,2,2,64,69,22,23,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
101693,7,3,,,26,28,20,15,,,13,9,,,,1,,,,24,,5,,,,,1,10,6,13,47,75,26,33,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
